friendly_school,sports_ref_id
Abilene Christian,abilene-christian
Air Force,air-force
Akron,akron
Alabama,alabama
Alabama A&M,alabama-am
Alabama State,alabama-state
Albany,albany-ny
Alcorn State,alcorn-state
American,american
Appalachian State,appalachian-state
Arizona,arizona
Arizona State,arizona-state
Arkansas,arkansas
Arkansas-Little Rock,arkansas-little-rock
Arkansas Pine Bluff,arkansas-pine-bluff
Arkansas State,arkansas-state
Army,army
Auburn,auburn
Austin Peay,austin-peay
Ball State,ball-state
Baylor,baylor
Belmont,belmont
Bethune-Cookman,bethune-cookman
Binghamton,binghamton
Boise State,boise-state
Boston College,boston-college
Boston University,boston-university
Bowling Green,bowling-green-state
Bradley,bradley
Brigham Young,brigham-young
LIU Brooklyn,brooklyn
Brown,brown
Bryant,bryant
Bucknell,bucknell
Buffalo,buffalo
Butler,butler
Cal Poly,cal-poly
Cal State Bakersfield,cal-state-bakersfield
Cal State Fullerton,cal-state-fullerton
Cal State Northridge,cal-state-northridge
California,california
UC Davis,california-davis
UC Irvine,california-irvine
UC Riverside,california-riverside
UC Santa Barbara,california-santa-barbara
Campbell,campbell
Canisius,canisius
Central Arkansas,central-arkansas
Central Connecticut State,central-connecticut-state
Central Michigan,central-michigan
Charleston Southern,charleston-southern
Charlotte,charlotte
Chattanooga,chattanooga
Chicago State,chicago-state
Cincinnati,cincinnati
Citadel,citadel
Clemson,clemson
Cleveland State,cleveland-state
Coastal Carolina,coastal-carolina
Colgate,colgate
Charleston,college-of-charleston
Colorado,colorado
Colorado State,colorado-state
Columbia,columbia
Connecticut,connecticut
Coppin State,coppin-state
Cornell,cornell
Creighton,creighton
Dartmouth,dartmouth
Davidson,davidson
Dayton,dayton
Delaware,delaware
Delaware State,delaware-state
Denver,denver
DePaul,depaul
Detroit,detroit-mercy
Drake,drake
Drexel,drexel
Duke,duke
Duquesne,duquesne
East Carolina,east-carolina
East Tennessee State,east-tennessee-state
Eastern Illinois,eastern-illinois
Eastern Kentucky,eastern-kentucky
Eastern Michigan,eastern-michigan
Eastern Washington,eastern-washington
Elon,elon
Evansville,evansville
Fairfield,fairfield
Fairleigh Dickinson,fairleigh-dickinson
Florida,florida
Florida A&M,florida-am
Florida Atlantic,florida-atlantic
Florida Gulf Coast,florida-gulf-coast
Florida International,florida-international
Florida State,florida-state
Fordham,fordham
Fresno State,fresno-state
Furman,furman
Gardner-Webb,gardner-webb
George Mason,george-mason
George Washington,george-washington
Georgetown,georgetown
Georgia,georgia
Georgia Southern,georgia-southern
Georgia State,georgia-state
Georgia Tech,georgia-tech
Gonzaga,gonzaga
Grambling State,grambling
Grand Canyon,grand-canyon
Green Bay,green-bay
Hampton,hampton
Hartford,hartford
Harvard,harvard
Hawaii,hawaii
High Point,high-point
Hofstra,hofstra
Holy Cross,holy-cross
Houston,houston
Houston Baptist,houston-baptist
Howard,howard
Idaho,idaho
Idaho State,idaho-state
Illinois,illinois
Illinois-Chicago,illinois-chicago
Illinois State,illinois-state
Incarnate Word,incarnate-word
Indiana,indiana
Indiana State,indiana-state
Iona,iona
Iowa,iowa
Iowa State,iowa-state
IPFW,ipfw
IUPUI,iupui
Jackson State,jackson-state
Jacksonville,jacksonville
Jacksonville State,jacksonville-state
James Madison,james-madison
Kansas,kansas
Kansas State,kansas-state
Kennesaw State,kennesaw-state
Kent State,kent-state
Kentucky,kentucky
La Salle,la-salle
Lafayette,lafayette
Lamar,lamar
Lehigh,lehigh
Liberty,liberty
Lipscomb,lipscomb
Long Beach State,long-beach-state
Longwood,longwood
Louisiana-Lafayette,louisiana-lafayette
Louisiana-Monroe,louisiana-monroe
Louisiana Tech,louisiana-tech
Louisville,louisville
Loyola Chicago,loyola-il
Loyola Marymount,loyola-marymount
Loyola (MD),loyola-md
LSU,lsu
Maine,maine
Manhattan,manhattan
Marist,marist
Marquette,marquette
Marshall,marshall
Maryland,maryland
Maryland-Eastern Shore,maryland-eastern-shore
Massachusetts,massachusetts
Massachusetts Lowell,massachusetts-lowell
McNeese State,mcneese-state
Memphis,memphis
Mercer,mercer
Miami (FL),miami-fl
Miami (OH),miami-oh
Michigan,michigan
Michigan State,michigan-state
Middle Tennessee State,middle-tennessee
Milwaukee,milwaukee
Minnesota,minnesota
Mississippi,mississippi
Mississippi State,mississippi-state
Mississippi Valley State,mississippi-valley-state
Missouri,missouri
Missouri State,missouri-state
Monmouth,monmouth
Montana,montana
